,A1,A2,A3,B4,B5,C6,C7,C8,C9,C10,C11,C12,D13,D14,D15,E16,E17,E18,F19,F20,G21,G22,X,Y,Background
A1,993,1,1,,,,,,,,1,,,,,,,,,,,,,,14
A2,2,989,,2,2,,,,1,,1,,,,,,,,,,,,,,22
A3,1,2,995,,1,3,,,,,,,,,,,,,,,,,,,8
B4,,2,,990,1,,1,,,,,,,,,,,,,,,,,,12
B5,,1,1,2,995,,2,,,,,1,,,,,,,,,,,,,6
C6,,,2,2,,994,,,,,,,,,,,,,,,,,1,,17
C7,,,,,,,991,,,4,1,,,,,,,,,,,,,,10
C8,,,,1,1,,2,990,2,,,,2,,,,,,,,,,6,,10
C9,,,,1,,,,1,992,1,4,,,,,,1,,,,,,,,8
C10,,,,,,2,3,1,,991,2,2,,1,,1,,,,,,,2,,13
C11,,1,,,,,1,,1,,988,4,,,,,,,,1,,,2,,12
C12,,,,,1,,,,1,1,1,989,,,,,,,,,,,,,13
D13,,,,,,,,1,,,,,991,,6,,,,,,,,,,7
D14,,,,,,,,,,,,,3,993,,,,,,,,,1,,7
D15,,,,,,,,,,,,1,,,989,1,,3,,,,,,,14
E16,,,,,,,,,,,,,1,1,,990,2,2,,2,,1,,,9
E17,,,,,,,,,,,,,,,,,992,,1,1,,1,,,12
E18,,,,,,,,,,,1,,,1,1,1,,984,,4,,,,,13
F19,,,,,,,,,,,,,,,,,1,,986,3,1,8,,,14
F20,,,,,,,,,,,,,,,,2,,1,1,986,,3,,1,14
G21,,,,,,,,,,,,,,,,,,,1,,991,2,,,8
G22,,,,,,,,,,,,,,,,,,,8,,3,981,,1,17
X,,,,,,,,,,,,,,,,,,,,,,,709,,17
Y,,,,,,,,,,,,,,,,,,,,,,,1,240,13
Background,4,4,1,2,1,,2,4,3,2,1,3,4,3,1,4,4,7,4,1,5,4,5,4,
